"amsterdam_code","value"
"10004",1
"10022",2
"10027",1
"10036",1
"10042",1
"10054",8
"10056",1
"10058",1
"10073",1
"10081",1
"10086",1
"10093",12
"10115",2
"10122",5
"10140",2
"10148",1
"10154",1
"10164",2
"10165",2
"10168",2
"10177",3
"10182",2
"10191",2
"10192",10
"10194",1
"10197",3
"10198",1
"10220",1
"10232",2
"10237",2
"10243",2
"10253",9
"10254",3
"10264",2
"10272",4
"10285",15
"10302",3
"10303",2
"10309",1
"10324",5
"10326",2
"10329",1
"10334",1
"10345",11
"10349",1
"10354",1
"10357",0
"10361",1
"10363",1
"10365",1
"10373",3
"10377",1
"10382",3
"10398",1
"10404",2
"10407",1
"10409",1
"10410",2
"10416",1
"10421",1
"10426",3
"10433",1
"10445",1
"10454",1
"10468",1
"10477",3
"10484",2
"10486",1
"10490",1
"10508",17
"10510",2
"10511",3
"10523",1
"10527",7
"10546",1
"10547",1
"10612",1
"10616",2
"10620",5
"10623",1
"10627",1
"10631",3
"10641",1
"10648",1
"10656",1
"10673",4
"10674",2
"10683",1
"10702",11
"10722",10
"10729",4
"10734",3
"10740",1
"10741",1
"10743",1
"10752",1
"10769",2
"10773",2
"10776",1
"10777",1
"10783",2
"10792",6
"10793",2
"10795",7
"10799",3
"10809",1
"10815",2
"10818",1
"10822",1
"10836",2
"10839",1
"10850",8
"10851",2
"10859",1
"10865",4
"10873",1
"10875",1
"10884",1
"10894",1
"10896",1
"10899",8
"10907",2
"10908",1
"10909",2
"10923",4
"10928",3
"10940",2
"10943",1
"10948",6
"10957",1
"10958",1
"10973",3
"10976",1
"10980",1
"10984",1
"11011",2
"11029",1
"11037",1
"11044",9
"11051",1
"11052",1
"11066",2
"11075",3
"11094",1
"11102",1
"11106",1
"11113",1
"11118",1
"11121",1
"11134",1
"11144",1
"11147",1
"11150",0
"11157",4
"11163",3
"11191",1
"11209",4
"11218",1
"11223",1
"11226",2
"11228",9
"11236",3
"11238",2
"11249",1
"11260",1
"11285",1
"11288",14
"11298",1
"11324",1
"11325",1
"11327",1
"11338",1
"11344",1
"11355",1
"11373",1
"11381",1
"11383",1
"11387",17
"11392",5
"11398",1
"11404",2
"11411",1
"11421",3
"11424",3
"11427",2
"11434",15
