"","werkplaats","functie","freq"
"1","Balkenzagerij","mach._Drijver",1
"2","Balkenzagerij","zager",1
"3","Blikslagerij","blikslager",10
"4","Compositiegieterij","comp._Gieter",7
"5","Compositiegieterij","ploegbaas",1
"6","Houtloods","houtbaas",1
"7","Kopergieterij","afbramer",1
"8","Kopergieterij","kopergieter",10
"9","Kopergieterij","smelter",1
"10","Koperslagerij","koperslager",23
"11","Locomotiefbankwerkerij","bankwerker",212
"12","Locomotiefbankwerkerij","ploegbaas",13
"13","Locomotiefbankwerkerij","verpakker",1
"14","Locomotiefbankwerkerij","wnd_ass._Opz._Op_proef",1
"15","Nieuwe_Draaierij","boorder",5
"16","Nieuwe_Draaierij","draadsnijder",1
"17","Nieuwe_Draaierij","draaier",42
"18","Nieuwe_Draaierij","fraizer",8
"19","Nieuwe_Draaierij","poetser",2
"20","Nieuwe_Draaierij","schaver",8
"21","Nieuwe_Draaierij","slijper",3
"22","Nieuwe_Draaierij","steker",3
"23","Nieuwe_Smederij","drijver_valhamer",2
"24","Nieuwe_Smederij","ploegbaas",1
"25","Nieuwe_Smederij","voorslaander",26
"26","Nieuwe_Smederij","vuurwerker",27
"27","Oude_Draaierij","boorder",11
"28","Oude_Draaierij","draadsnijder",6
"29","Oude_Draaierij","draaier",47
"30","Oude_Draaierij","fraizer",1
"31","Oude_Draaierij","ploegbaas",1
"32","Oude_Draaierij","poetser",2
"33","Oude_Draaierij","schaver",14
"34","Oude_Draaierij","slijper",5
"35","Oude_Draaierij","steker",3
"36","Oude_Smederij","drijver_stoomhamer",2
"37","Oude_Smederij","drijver_valhamer",1
"38","Oude_Smederij","ploegbaas",1
"39","Oude_Smederij","slijper",1
"40","Oude_Smederij","voorslaander",35
"41","Oude_Smederij","vuurwerker",32
"42","Poetsers","ploegbaas",1
"43","Poetsers","poetser",40
"44","Rijtuigbankwerkerij","bankwerker",112
"45","Rijtuigbankwerkerij","boorder",10
"46","Rijtuigbankwerkerij","draadsnijder",4
"47","Rijtuigbankwerkerij","draaier",1
"48","Rijtuigbankwerkerij","ploegbaas",8
"49","Rijtuigbankwerkerij","poetser",4
"50","Rijtuigbankwerkerij","schaver",1
"51","Rijtuigbankwerkerij","zagenvijler",1
"52","Rijtuigmakerij","modelmaker",6
"53","Rijtuigmakerij","ploegbaas",5
"54","Rijtuigmakerij","poetser",1
"55","Rijtuigmakerij","wagenmaker",81
"56","Rijtuigpoetsers","rijtuigpoetser",15
"57","Rijtuigpoetsers","rijtuigpoetster",3
"58","Schilderswinkel","ploegbaas",5
"59","Schilderswinkel","poetser",2
"60","Schilderswinkel","schilder",67
"61","Wagenlichterij","draaier",1
"62","Wagenlichterij","ploegbaas",1
"63","Wagenlichterij","poetser",2
"64","Wagenlichterij","wagenlichter",41
"65","Wagenmakerij","ploegbaas",4
"66","Wagenmakerij","wagenmaker",59
"67","Wagenmakerij","zager",1
"68","Wielendraaierij","bankwerker",2
"69","Wielendraaierij","ploegbaas",1
"70","Wielendraaierij","wielbandlegger",7
"71","Wielendraaierij","wielendraaier",29
"72","Zadelmakerij","haarpluizer",2
"73","Zadelmakerij","zadelmaker",52
"74","Zeilmakerij","ploegbaas",1
"75","Zeilmakerij","zeilmaker",20
